id,first_name,second_name,team_id,position_id
364,Amad,Diallo,14,3
365,Antony Matheus,dos Santos,14,3
366,Bruno,Borges Fernandes,14,3
367,Altay,Bayindir,14,1
368,Carlos Henrique,Casimiro,14,3
369,Diogo,Dalot Teixeira,14,2
370,Christian,Eriksen,14,3
371,Jonny,Evans,14,2
372,Alejandro,Garnacho,14,3
373,Hannibal,Mejbri,14,3
374,Tom,Heaton,14,1
375,Rasmus,Højlund,14,4
376,Victor,Lindelöf,14,2
377,Harry,Maguire,14,2
378,Kobbie,Mainoo,14,3
379,Tyrell,Malacia,14,2
380,Lisandro,Martínez,14,2
381,Scott,McTominay,14,3
382,Mason,Mount,14,3
383,André,Onana,14,1
384,Facundo,Pellistri Rebollo,14,3
387,Luke,Shaw,14,2
389,Joshua,Zirkzee,14,4
572,Leny,Yoro,14,2
593,Matthijs,de Ligt,14,2
594,Noussair,Mazraoui,14,2
613,Toby,Collyer,14,3
648,Ethan,Wheatley,14,4
652,Manuel,Ugarte,14,3
658,Ayden,Heaven,14,2
667,Jack,Fletcher,14,3
670,Harry,Amass,14,2
673,Jayce,Fitzgerald,14,3
691,Godwill,Kukonki,14,2
745,Ruben Filipe,Marques Diogo Amorim,14,5
761,Elyh,Harrison,14,1
766,Patrick,Dorgu,14,2
776,Chido,Obi-Martin,14,4
777,Tyler,Fredricson,14,2
778,Jack,Moorhouse,14,3
779,Sékou,Koné,14,3
783,Hubert,Graczyk,14,1
788,Dermot,Mee,14,1
